tablename,index_count,total_bytes,index_bytes,estimated_rows
oil_uplifts,5,49152,40960,0
payment_methods,5,40960,40960,0
platform_route_metrics_1m,5,40960,40960,0
quality_audit_post_briefs,5,49152,40960,0
reliability_threshold_sets,5,40960,40960,0
training_certificate_issues,5,49152,40960,0
user_authorisations,5,49152,40960,0
account_security_events,4,245760,131072,0
amo_assets,4,81920,65536,0
departments,4,81920,65536,0
document_versions,4,163840,65536,0
password_reset_tokens,4,81920,65536,0
platform_audit_log,4,81920,65536,0
qms_audit_reference_counters,4,73728,65536,0
manual_revisions,4,65536,49152,0
authorisation_types,4,40960,32768,0
base_station_aliases,4,32768,32768,0
finance_credit_notes,4,32768,32768,0
finance_invoices,4,32768,32768,0
inventory_movement_ledger,4,40960,32768,0
physical_controlled_copies,4,40960,32768,0
qms_approval_matrix,4,40960,32768,0
qms_archive_package_items,4,40960,32768,0
qms_archive_packages,4,40960,32768,0
qms_audit_archives,4,40960,32768,0
qms_audit_checklist_items,4,40960,32768,0
qms_audit_checklists,4,40960,32768,0
qms_audit_evidence,4,40960,32768,0
qms_audit_notices,4,40960,32768,0
qms_audit_post_briefs,4,40960,32768,0
qms_audit_programs,4,40960,32768,0
qms_audit_reports,4,40960,32768,0
qms_audit_scopes,4,40960,32768,0
qms_audit_team_members,4,40960,32768,0
qms_audit_war_room_files,4,40960,32768,0
qms_authority_correspondence,4,40960,32768,0
qms_calibration_certificates,4,40960,32768,0
qms_calibration_records,4,40960,32768,0
qms_car_action_items,4,40960,32768,0
qms_car_closure_records,4,40960,32768,0
qms_car_containment_actions,4,40960,32768,0
qms_car_corrective_action_plans,4,40960,32768,0
qms_car_effectiveness_reviews,4,40960,32768,0
qms_car_evidence,4,40960,32768,0
qms_car_rejections,4,40960,32768,0
qms_car_reviews,4,40960,32768,0
qms_car_root_causes,4,40960,32768,0
qms_change_controls,4,40960,32768,0
qms_competence_gaps,4,40960,32768,0
qms_competence_matrix,4,40960,32768,0
qms_context_items,4,40960,32768,0
qms_customer_complaints,4,40960,32768,0
qms_customer_feedback,4,40960,32768,0
qms_dashboard_widgets,4,40960,32768,0
qms_document_acknowledgements,4,40960,32768,0
qms_document_approval_letters,4,40960,32768,0
qms_document_approvals,4,40960,32768,0
qms_document_change_requests,4,40960,32768,0
qms_document_distribution,4,40960,32768,0
qms_document_obsolete_records,4,40960,32768,0
qms_document_sections,4,40960,32768,0
qms_document_templates,4,40960,32768,0
qms_document_versions,4,40960,32768,0
qms_equipment,4,40960,32768,0
qms_equipment_status_history,4,40960,32768,0
qms_evidence_files,4,40960,32768,0
qms_external_audits,4,40960,32768,0
qms_external_commitments,4,40960,32768,0
qms_external_items,4,40960,32768,0
qms_external_responses,4,40960,32768,0
qms_file_hashes,4,40960,32768,0
qms_finding_classifications,4,40960,32768,0
qms_finding_evidence,4,40960,32768,0
qms_finding_links,4,40960,32768,0
qms_finding_sources,4,40960,32768,0
qms_findings,4,40960,32768,0
qms_form_definitions,4,40960,32768,0
qms_interested_parties,4,40960,32768,0
qms_management_review_actions,4,40960,32768,0
qms_management_review_approvals,4,40960,32768,0
qms_management_review_decisions,4,40960,32768,0
qms_management_review_inputs,4,40960,32768,0
qms_management_review_minutes,4,40960,32768,0
qms_management_reviews,4,40960,32768,0
qms_metric_definitions,4,40960,32768,0
qms_notification_rules,4,40960,32768,0
qms_numbering_rules,4,40960,32768,0
qms_opportunities,4,40960,32768,0
qms_out_of_tolerance_events,4,40960,32768,0
qms_process_owners,4,40960,32768,0
qms_processes,4,40960,32768,0
qms_quality_objectives,4,40960,32768,0
qms_quality_policy,4,40960,32768,0
qms_regulator_findings,4,40960,32768,0
qms_report_definitions,4,40960,32768,0
qms_report_exports,4,40960,32768,0
qms_retention_rules,4,40960,32768,0
qms_risk_actions,4,40960,32768,0
qms_risk_controls,4,40960,32768,0
qms_risks,4,40960,32768,0
qms_settings,4,40960,32768,0
qms_supplier_approvals,4,40960,32768,0
qms_supplier_audits,4,40960,32768,0
qms_supplier_documents,4,40960,32768,0
qms_supplier_evaluations,4,40960,32768,0
qms_supplier_findings,4,40960,32768,0
qms_supplier_performance_scores,4,40960,32768,0
qms_supplier_scopes,4,40960,32768,0
qms_suppliers,4,40960,32768,0
qms_task_assignments,4,40960,32768,0
qms_task_comments,4,40960,32768,0
qms_tasks,4,40960,32768,0
qms_templates,4,40960,32768,0
qms_training_courses,4,40960,32768,0
qms_training_evaluations,4,40960,32768,0
qms_training_records,4,40960,32768,0
qms_training_requirements,4,40960,32768,0
qms_workflow_rules,4,40960,32768,0
reliability_control_chart_configs,4,40960,32768,0
tasks,4,40960,32768,0
user_availability,4,40960,32768,0
user_base_assignments,4,40960,32768,0
document_sections,3,106496,90112,0
gl_accounts,3,57344,49152,0
idempotency_keys,3,57344,49152,0
manual_tenants,3,65536,49152,0
module_subscriptions,3,65536,49152,0
presence_state,3,57344,49152,0
qms_calendar_settings,3,65536,49152,0
technical_record_settings,3,57344,49152,0
accounting_periods,3,24576,24576,0
aircraft_import_preview_rows,3,32768,24576,0
aircraft_import_preview_sessions,3,32768,24576,0
aircraft_import_reconciliation_logs,3,32768,24576,0
aircraft_import_snapshots,3,32768,24576,0
chat_messages,3,32768,24576,0
compliance_event_ledger,3,32768,24576,0
customers,3,32768,24576,0
doc_control_documents,3,32768,24576,0
finance_payments,3,24576,24576,0
inspector_signoffs,3,32768,24576,0
inventory_locations,3,24576,24576,0
inventory_lots,3,24576,24576,0
inventory_parts,3,24576,24576,0
inventory_serials,3,32768,24576,0
license_entitlements,3,32768,24576,0
message_receipts,3,24576,24576,0
platform_api_keys,3,32768,24576,0
platform_feature_flags,3,32768,24576,0
platform_worker_heartbeats,3,32768,24576,0
prompt_deliveries,3,32768,24576,0
purchase_orders,3,32768,24576,0
qms_public_holidays,3,32768,24576,0
quality_car_responses,3,32768,24576,0
shop_visits,3,32768,24576,0
task_step_executions,3,32768,24576,0
task_steps,3,32768,24576,0
technical_airworthiness_items,3,32768,24576,0
technical_airworthiness_publication_matches,3,32768,24576,0
technical_airworthiness_publications,3,32768,24576,0
technical_production_release_gates,3,32768,24576,0
vendors,3,32768,24576,0
realtime_connect_tokens,2,2580480,540672,0
billing_audit_logs,2,49152,32768,0
currencies,2,40960,32768,0
manuals,2,49152,32768,0
platform_command_job_events,2,49152,32768,0
platform_health_snapshots,2,49152,32768,0
tax_codes,2,40960,32768,0
auth_capability_definitions,2,24576,16384,0
auth_postholder_assignments,2,16384,16384,0
auth_role_capability_bindings,2,24576,16384,0
auth_role_definitions,2,24576,16384,0
auth_sod_policy_rules,2,24576,16384,0
auth_user_role_assignments,2,16384,16384,0
chat_thread_members,2,16384,16384,0
custody_logs,2,24576,16384,0
doc_control_acknowledgements,2,24576,16384,0
doc_control_archive_records,2,24576,16384,0
doc_control_audit_events,2,24576,16384,0
doc_control_change_proposals,2,24576,16384,0
doc_control_distribution_events,2,16384,16384,0
doc_control_distribution_list_entries,2,24576,16384,0
doc_control_distribution_recipients,2,16384,16384,0
doc_control_drafts,2,24576,16384,0
doc_control_leps,2,24576,16384,0
doc_control_reviews,2,24576,16384,0
doc_control_revision_packages,2,24576,16384,0
doc_control_temporary_revisions,2,24576,16384,0
finance_invoice_lines,2,16384,16384,0
goods_receipt_lines,2,16384,16384,0
goods_receipts,2,24576,16384,0
journal_entries,2,16384,16384,0
journal_lines,2,16384,16384,0
manual_audit_log,2,24576,16384,0
payment_allocations,2,16384,16384,0
platform_diagnostic_runs,2,24576,16384,0
platform_infrastructure_snapshots,2,24576,16384,0
platform_integration_providers,2,24576,16384,0
platform_maintenance_windows,2,24576,16384,0
platform_notifications,2,24576,16384,0
platform_security_alerts,2,24576,16384,0
platform_support_sessions,2,24576,16384,0
platform_support_tickets,2,24576,16384,0
platform_tenant_resource_snapshots,2,24576,16384,0
platform_webhook_configs,2,24576,16384,0
purchase_order_lines,2,16384,16384,0
realtime_outbox,2,24576,16384,0
reliability_notification_rules,2,16384,16384,0
technical_aircraft_utilisation_legacy,2,24576,16384,0
technical_airworthiness_compliance_events,2,24576,16384,0
technical_airworthiness_watchlists,2,24576,16384,0
technical_compliance_action_history,2,24576,16384,0
technical_compliance_actions,2,24576,16384,0
technical_deferrals,2,24576,16384,0
technical_exception_queue,2,24576,16384,0
technical_logbook_entries,2,24576,16384,0
technical_maintenance_records,2,24576,16384,0
technical_production_execution_evidence,2,24576,16384,0
training_certificate_status_history,2,24576,16384,0
manual_blocks,1,65536,40960,0
alembic_version,1,24576,16384,0
manual_sections,1,32768,16384,0
platform_settings,1,32768,16384,0
quality_tenant_backfill_issues,1,24576,16384,0
acknowledgements,1,16384,8192,0
chat_threads,1,8192,8192,0
doc_control_settings,1,8192,8192,0
platform_webhook_delivery_logs,1,16384,8192,0
prompts,1,8192,8192,0
revision_diff_index,1,16384,8192,0
