schemaname,tablename,indexname,indexdef
"public","aircraft_program_items","ix_aircraft_program_items_created_by_user_id","CREATE INDEX ix_aircraft_program_items_created_by_user_id ON public.aircraft_program_items USING btree (created_by_user_id)"
"public","aircraft_program_items","ix_aircraft_program_items_due_date","CREATE INDEX ix_aircraft_program_items_due_date ON public.aircraft_program_items USING btree (aircraft_serial_number, next_due_date)"
"public","aircraft_program_items","ix_aircraft_program_items_id","CREATE INDEX ix_aircraft_program_items_id ON public.aircraft_program_items USING btree (id)"
"public","aircraft_program_items","ix_aircraft_program_items_next_due_date","CREATE INDEX ix_aircraft_program_items_next_due_date ON public.aircraft_program_items USING btree (next_due_date)"
"public","aircraft_program_items","ix_aircraft_program_items_program_item","CREATE INDEX ix_aircraft_program_items_program_item ON public.aircraft_program_items USING btree (program_item_id)"
"public","aircraft_program_items","ix_aircraft_program_items_program_item_id","CREATE INDEX ix_aircraft_program_items_program_item_id ON public.aircraft_program_items USING btree (program_item_id)"
"public","aircraft_program_items","ix_aircraft_program_items_status","CREATE INDEX ix_aircraft_program_items_status ON public.aircraft_program_items USING btree (status)"
"public","aircraft_program_items","ix_aircraft_program_items_updated_by_user_id","CREATE INDEX ix_aircraft_program_items_updated_by_user_id ON public.aircraft_program_items USING btree (updated_by_user_id)"
"public","aircraft_program_items","pk_aircraft_program_items","CREATE UNIQUE INDEX pk_aircraft_program_items ON public.aircraft_program_items USING btree (id)"
"public","aircraft_program_items","uq_aircraft_program_items_aircraft_program_component","CREATE UNIQUE INDEX uq_aircraft_program_items_aircraft_program_component ON public.aircraft_program_items USING btree (aircraft_serial_number, program_item_id, aircraft_component_id)"
"public","aircraft_usage","ix_aircraft_usage_aircraft_date","CREATE INDEX ix_aircraft_usage_aircraft_date ON public.aircraft_usage USING btree (aircraft_serial_number, date)"
"public","aircraft_usage","ix_aircraft_usage_aircraft_serial_number","CREATE INDEX ix_aircraft_usage_aircraft_serial_number ON public.aircraft_usage USING btree (aircraft_serial_number)"
"public","aircraft_usage","ix_aircraft_usage_amo_date","CREATE INDEX ix_aircraft_usage_amo_date ON public.aircraft_usage USING btree (amo_id, date)"
"public","aircraft_usage","ix_aircraft_usage_created_by_user_id","CREATE INDEX ix_aircraft_usage_created_by_user_id ON public.aircraft_usage USING btree (created_by_user_id)"
"public","aircraft_usage","ix_aircraft_usage_date","CREATE INDEX ix_aircraft_usage_date ON public.aircraft_usage USING btree (date)"
"public","aircraft_usage","ix_aircraft_usage_id","CREATE INDEX ix_aircraft_usage_id ON public.aircraft_usage USING btree (id)"
"public","aircraft_usage","ix_aircraft_usage_techlog_no","CREATE INDEX ix_aircraft_usage_techlog_no ON public.aircraft_usage USING btree (techlog_no)"
"public","aircraft_usage","ix_aircraft_usage_updated_by_user_id","CREATE INDEX ix_aircraft_usage_updated_by_user_id ON public.aircraft_usage USING btree (updated_by_user_id)"
"public","aircraft_usage","pk_aircraft_usage","CREATE UNIQUE INDEX pk_aircraft_usage ON public.aircraft_usage USING btree (id)"
"public","aircraft_usage","uq_aircraft_usage_aircraft_date_techlog","CREATE UNIQUE INDEX uq_aircraft_usage_aircraft_date_techlog ON public.aircraft_usage USING btree (aircraft_serial_number, date, techlog_no)"
"public","aircraft_utilization_daily","ix_aircraft_utilization_amo_date","CREATE INDEX ix_aircraft_utilization_amo_date ON public.aircraft_utilization_daily USING btree (amo_id, date)"
"public","aircraft_utilization_daily","ix_aircraft_utilization_daily_aircraft_serial_number","CREATE INDEX ix_aircraft_utilization_daily_aircraft_serial_number ON public.aircraft_utilization_daily USING btree (aircraft_serial_number)"
"public","aircraft_utilization_daily","ix_aircraft_utilization_daily_amo_id","CREATE INDEX ix_aircraft_utilization_daily_amo_id ON public.aircraft_utilization_daily USING btree (amo_id)"
"public","aircraft_utilization_daily","ix_aircraft_utilization_daily_date","CREATE INDEX ix_aircraft_utilization_daily_date ON public.aircraft_utilization_daily USING btree (date)"
"public","aircraft_utilization_daily","pk_aircraft_utilization_daily","CREATE UNIQUE INDEX pk_aircraft_utilization_daily ON public.aircraft_utilization_daily USING btree (id)"
"public","aircraft_utilization_daily","uq_aircraft_utilization_date","CREATE UNIQUE INDEX uq_aircraft_utilization_date ON public.aircraft_utilization_daily USING btree (aircraft_serial_number, date)"
"public","alembic_version","alembic_version_pkc","CREATE UNIQUE INDEX alembic_version_pkc ON public.alembic_version USING btree (version_num)"
"public","amo_assets","ix_amo_assets_amo_id","CREATE INDEX ix_amo_assets_amo_id ON public.amo_assets USING btree (amo_id)"
"public","amo_assets","ix_amo_assets_is_active","CREATE INDEX ix_amo_assets_is_active ON public.amo_assets USING btree (is_active)"
"public","amo_assets","ix_amo_assets_kind","CREATE INDEX ix_amo_assets_kind ON public.amo_assets USING btree (kind)"
"public","amo_assets","pk_amo_assets","CREATE UNIQUE INDEX pk_amo_assets ON public.amo_assets USING btree (id)"
"public","amos","ix_amos_amo_code","CREATE UNIQUE INDEX ix_amos_amo_code ON public.amos USING btree (amo_code)"
"public","amos","ix_amos_icao_code","CREATE INDEX ix_amos_icao_code ON public.amos USING btree (icao_code)"
"public","amos","ix_amos_id_time_zone","CREATE INDEX ix_amos_id_time_zone ON public.amos USING btree (id, time_zone)"
"public","amos","ix_amos_is_active","CREATE INDEX ix_amos_is_active ON public.amos USING btree (is_active)"
"public","amos","ix_amos_is_demo","CREATE INDEX ix_amos_is_demo ON public.amos USING btree (is_demo)"
"public","amos","ix_amos_login_slug","CREATE UNIQUE INDEX ix_amos_login_slug ON public.amos USING btree (login_slug)"
"public","amos","pk_amos","CREATE UNIQUE INDEX pk_amos ON public.amos USING btree (id)"
"public","amp_program_items","ix_amp_program_items_ata_chapter","CREATE INDEX ix_amp_program_items_ata_chapter ON public.amp_program_items USING btree (ata_chapter)"
"public","amp_program_items","ix_amp_program_items_created_by_user_id","CREATE INDEX ix_amp_program_items_created_by_user_id ON public.amp_program_items USING btree (created_by_user_id)"
"public","amp_program_items","ix_amp_program_items_id","CREATE INDEX ix_amp_program_items_id ON public.amp_program_items USING btree (id)"
"public","amp_program_items","ix_amp_program_items_status","CREATE INDEX ix_amp_program_items_status ON public.amp_program_items USING btree (status)"
"public","amp_program_items","ix_amp_program_items_task_code","CREATE INDEX ix_amp_program_items_task_code ON public.amp_program_items USING btree (task_code)"
"public","amp_program_items","ix_amp_program_items_task_number","CREATE INDEX ix_amp_program_items_task_number ON public.amp_program_items USING btree (task_number)"
"public","amp_program_items","ix_amp_program_items_template_ata","CREATE INDEX ix_amp_program_items_template_ata ON public.amp_program_items USING btree (template_code, ata_chapter)"
"public","amp_program_items","ix_amp_program_items_template_code","CREATE INDEX ix_amp_program_items_template_code ON public.amp_program_items USING btree (template_code)"
"public","amp_program_items","ix_amp_program_items_template_status","CREATE INDEX ix_amp_program_items_template_status ON public.amp_program_items USING btree (template_code, status)"
"public","amp_program_items","ix_amp_program_items_updated_by_user_id","CREATE INDEX ix_amp_program_items_updated_by_user_id ON public.amp_program_items USING btree (updated_by_user_id)"
"public","amp_program_items","pk_amp_program_items","CREATE UNIQUE INDEX pk_amp_program_items ON public.amp_program_items USING btree (id)"
"public","amp_program_items","uq_amp_program_items_template_task_code","CREATE UNIQUE INDEX uq_amp_program_items_template_task_code ON public.amp_program_items USING btree (template_code, task_code)"
